订单 ID,订单日期,发货日期,装运模式,客户 ID,客户名称,细分,城市,省/自治区,国家/地区,区域,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
CN-2021-010126424,2021/1/1,2021/1/3,二级,邢宁-126424,邢宁,公司,常德,湖南,中国,中南,家具-桌子-10000441,家具,桌子,"Barricks 圆桌, 白色",5288.85,3,0.25,-634.83
CN-2021-010126424,2021/1/1,2021/1/3,二级,邢宁-126424,邢宁,公司,常德,湖南,中国,中南,技术-电话-10004819,技术,电话,"诺基亚 智能手机, 整包",1725.36,3,0,68.88
CN-2021-010126424,2021/1/1,2021/1/3,二级,邢宁-126424,邢宁,公司,常德,湖南,中国,中南,技术-配件-10000300,技术,配件,"贝尔金 记忆卡, 实惠",1607.34,3,0,610.68
CN-2021-010126424,2021/1/1,2021/1/3,二级,邢宁-126424,邢宁,公司,常德,湖南,中国,中南,办公用-收纳-10002430,办公用品,收纳具,"Rogers 文件车, 单宽度",3304.7,5,0,1321.6
CN-2021-010221190,2021/1/2,2021/1/9,标准级,麦虢-121190,麦虢,公司,上海,上海,中国,华东,办公用-器具-10003859,办公用品,器具,"Cuisinart 冰箱, 白色",6919.08,3,0,691.74
CN-2021-010221190,2021/1/2,2021/1/9,标准级,麦虢-121190,麦虢,公司,上海,上海,中国,华东,技术-配件-10002318,技术,配件,"贝尔金 键区, 回收",2074.24,8,0,414.4
CN-2021-010299760,2021/1/2,2021/1/7,二级,俞毅-099760,俞毅,消费者,江口,福建,中国,华东,家具-椅子-10003377,家具,椅子,"SAFCO 折叠椅, 黑色",388.64,1,0,23.24
CN-2021-010299760,2021/1/2,2021/1/7,二级,俞毅-099760,俞毅,消费者,江口,福建,中国,华东,技术-配件-10003567,技术,配件,"罗技 鼠标, 回收",252.84,2,0,83.16
CN-2021-010299760,2021/1/2,2021/1/7,二级,俞毅-099760,俞毅,消费者,江口,福建,中国,华东,技术-复印-10004787,技术,复印机,"佳能 墨水, 红色",2034.9,3,0,793.38
CN-2021-010299760,2021/1/2,2021/1/7,二级,俞毅-099760,俞毅,消费者,江口,福建,中国,华东,技术-电话-10003187,技术,电话,"诺基亚 充电器, 混合尺寸",20871.06,7,0,9808.82
CN-2021-010299760,2021/1/2,2021/1/7,二级,俞毅-099760,俞毅,消费者,江口,福建,中国,华东,办公用-收纳-10000198,办公用品,收纳具,"Rogers 盒, 工业",456.4,4,0,127.68
CN-2021-010322060,2021/1/3,2021/1/9,标准级,牛惠-122060,牛惠,小型企业,桓仁,辽宁,中国,东北,家具-椅子-10002303,家具,椅子,"Harbour Creations 椅垫, 红色",403.2,2,0.4,-26.88
CN-2021-010322060,2021/1/3,2021/1/9,标准级,牛惠-122060,牛惠,小型企业,桓仁,辽宁,中国,东北,办公用-器具-10003582,办公用品,器具,"KitchenAid 冰箱, 黑色",1476.636,1,0.4,-566.104
CN-2021-010322060,2021/1/3,2021/1/9,标准级,牛惠-122060,牛惠,小型企业,桓仁,辽宁,中国,东北,办公用-器具-10001453,办公用品,器具,"Cuisinart 炉灶, 白色",10514.028,7,0.4,700.308
CN-2021-010322060,2021/1/3,2021/1/9,标准级,牛惠-122060,牛惠,小型企业,桓仁,辽宁,中国,东北,技术-电话-10002696,技术,电话,"思科 充电器, 混合尺寸",3663.744,2,0.4,-1832.096
